PARAM,AVG_TIME,RUN,FAILED
1,123.202,1,0
1,101.546,2,0
1,94.030,3,0
10,516.188,1,0
10,514.513,2,0
10,514.257,3,0
20,535.914,1,0
20,538.264,2,0
20,534.197,3,0
50,682.316,1,0
50,652.800,2,0
50,657.020,3,0
100,1261.499,1,0
100,764.206,2,0
100,510.534,3,0
1000,552.477,1,0
1000,556.797,2,0
1000,551.369,3,0
