PARAM,AVG_TIME,RUN,FAILED
10,8416.752,1,1
10,8525.962,2,1
10,9380.624,3,1
100,8248.592,1,1
100,8226.793,2,1
100,8254.063,3,1
1000,8496.534,1,1
1000,8575.419,2,1
1000,8586.291,3,1
